model,task,trial_dir,resolved,f2p_passed,f2p_total,p2p_passed,p2p_total,posthoc_skips_applied,agent_steps,tool_call_count,input_tokens,cached_tokens,output_tokens,wall_clock_sec,infra_fail
anthropic/bedrock-claude-opus-4-6,t2v3-DA076a-dace-argument-marshal-refactor,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-DA076a-dace-argument-marsha-PArWjnf,1,4,4,14,14,0,139,86,5461071,5302258,27751,960.256184,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA076a-dace-argument-marshal-refactor,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-DA076a-dace-argument-marsha-hA82c43,1,4,4,14,14,0,171,108,8292776,8175140,30410,971.01867,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA0f7a-input-model-unserializable-types,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-DA0f7a-input-model-unserial-Ce6Xdzr,0,7,9,66,66,0,153,84,8189861,8007227,52329,1415.987506,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA0f7a-input-model-unserializable-types,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-DA0f7a-input-model-unserial-j2nZx9m,0,7,9,66,66,0,94,52,4206627,4101636,38066,852.484173,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA0f7a-input-model-unserializable-types,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-DA0f7a-input-model-unserial-b4hPsme,0,7,9,66,66,0,144,76,6135019,6025967,44825,1011.033132,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA0f7a-input-model-unserializable-types,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-DA0f7a-input-model-unserial-F2UP3Kt,0,6,9,66,66,0,155,94,6288970,6183905,26681,1049.919273,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA0f7a-input-model-unserializable-types,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-DA0f7a-input-model-unserial-c8MdAea,1,9,9,66,66,0,126,74,7547037,7414204,67201,1390.761704,0
anthropic/bedrock-claude-opus-4-6,t2v3-DAa2a4-pydantic-v2-alias-choices,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-DAa2a4-pydantic-v2-alias-ch-wR55iNW,1,8,8,778,778,0,237,140,10655954,10532037,33976,1460.687028,0
anthropic/bedrock-claude-opus-4-6,t2v3-DAa2a4-pydantic-v2-alias-choices,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-DAa2a4-pydantic-v2-alias-ch-CFnoMSr,1,8,8,778,778,0,170,115,6303927,6183382,32663,1166.521596,0
anthropic/bedrock-claude-opus-4-6,t2v3-DAa2a4-pydantic-v2-alias-choices,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-DAa2a4-pydantic-v2-alias-ch-mMpqkXV,1,8,8,778,778,0,198,131,8258412,8150680,39981,1261.584734,0
anthropic/bedrock-claude-opus-4-6,t2v3-DAa2a4-pydantic-v2-alias-choices,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-DAa2a4-pydantic-v2-alias-ch-7sVtBEZ,1,8,8,778,778,0,170,104,7001967,6898591,30462,1205.494914,0
anthropic/bedrock-claude-opus-4-6,t2v3-DAa2a4-pydantic-v2-alias-choices,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-DAa2a4-pydantic-v2-alias-ch-X3NwUsf,1,8,8,778,778,0,201,125,8325962,8211377,39683,1285.929499,0
anthropic/bedrock-claude-opus-4-6,t2v3-DAbca6-packed-strides-contiguous-strip-mining,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-DAbca6-packed-strides-conti-2iAtGVu,0,60,62,3,3,0,92,51,4534290,4382118,64307,1323.90908,0
anthropic/bedrock-claude-opus-4-6,t2v3-DAbca6-packed-strides-contiguous-strip-mining,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-DAbca6-packed-strides-conti-F82kcZH,0,46,62,3,3,0,69,44,1862289,1811119,17889,712.370014,0
